team_idx,team_name
0,Abilene Christian
1,Air Force
2,Akron
3,Alabama
4,Alabama A&M
5,Alabama State
6,Alcorn State
7,App State
8,Arizona
9,Arizona State
10,Arkansas
11,Arkansas State
12,Arkansas-Pine Bluff
13,Army
14,Auburn
15,Austin Peay
16,BLUEFIELD
17,BYU
18,Ball State
19,Baylor
20,Bethune-Cookman
21,Boise State
22,Boston College
23,Bowling Green
24,Brown
25,Bryant
26,Bucknell
27,Buffalo
28,Butler
29,Cal Poly
30,California
31,Campbell
32,Central Arkansas
33,Central Connecticut
34,Central Michigan
35,Charleston Southern
36,Charlotte
37,Chattanooga
38,Cincinnati
39,Clemson
40,Coastal Carolina
41,Colgate
42,Colorado
43,Colorado State
44,Columbia
45,Cornell
46,Cumberland (TN)
47,Dartmouth
48,Davidson
49,Dayton
50,Delaware
51,Delaware State
52,Drake
53,Duke
54,Duquesne
55,East Carolina
56,East Tennessee State
57,East Texas A&M
58,Eastern Illinois
59,Eastern Kentucky
60,Eastern Michigan
61,Eastern Washington
62,Elon
63,Florida
64,Florida A&M
65,Florida Atlantic
66,Florida International
67,Florida State
68,Fordham
69,Fresno State
70,Furman
71,Gardner-Webb
72,Georgetown
73,Georgia
74,Georgia Southern
75,Georgia State
76,Georgia Tech
77,Grambling
78,Hampton
79,Harvard
80,Hawai'i
81,Holy Cross
82,Houston
83,Houston Christian
84,Howard
85,Idaho
86,Idaho State
87,Illinois
88,Illinois State
89,Incarnate Word
90,Indiana
91,Indiana State
92,Iowa
93,Iowa State
94,Jackson State
95,Jacksonville State
96,James Madison
97,Kansas
98,Kansas State
99,Kennesaw State
100,Kent State
101,Kentucky
102,Kentucky Christian
103,LSU
104,Lafayette
105,Lamar
106,Langston University
107,Lehigh
108,Liberty
109,Lindenwood
110,Little Rock
111,Long Island University
112,Louisiana
113,Louisiana College
114,Louisiana Tech
115,Louisville
116,Maine
117,Marist
118,Marshall
119,Maryland
120,Massachusetts
121,McNeese
122,Memphis
123,Mercer
124,Mercyhurst
125,Merrimack
126,Miami
127,Miami (OH)
128,Michigan
129,Michigan State
130,Middle Tennessee
131,Minnesota
132,Mississippi State
133,Mississippi Valley State
134,Missouri
135,Missouri State
136,Monmouth
137,Montana
138,Montana State
139,Morehead State
140,Morgan State
141,Murray State
142,NC State
143,Navy
144,Nebraska
145,Nevada
146,New Hampshire
147,New Haven
148,New Mexico
149,New Mexico State
150,Nicholls
151,Norfolk State
152,North Alabama
153,North Carolina
154,North Carolina A&T
155,North Carolina Central
156,North Dakota
157,North Dakota State
158,North Texas
159,Northern Arizona
160,Northern Colorado
161,Northern Illinois
162,Northern Iowa
163,Northwestern
164,Northwestern State
165,Notre Dame
166,Ohio
167,Ohio State
168,Oklahoma
169,Oklahoma State
170,Old Dominion
171,Ole Miss
172,Oregon
173,Oregon State
174,Penn State
175,Pennsylvania
176,Pittsburgh
177,Portland State
178,Prairie View A&M
179,Presbyterian
180,Princeton
181,Purdue
182,Rhode Island
183,Rice
184,Richmond
185,Robert Morris
186,Rutgers
187,SE Louisiana
188,SMU
189,Sacramento State
190,Sacred Heart
191,Sam Houston
192,Samford
193,San Diego
194,San Diego State
195,San José State
196,South Alabama
197,South Carolina
198,South Carolina State
199,South Dakota
200,South Dakota State
201,South Florida
202,Southeast Missouri State
203,Southern
204,Southern Illinois
205,Southern Miss
206,Southern Utah
207,St. Francis (PA)
208,St. Thomas (MN)
209,Stanford
210,Stephen F. Austin
211,Stetson
212,Stonehill
213,Stony Brook
214,Syracuse
215,TCU
216,Tarleton State
217,Temple
218,Tennessee
219,Tennessee State
220,Tennessee Tech
221,Texas
222,Texas A&M
223,Texas Southern
224,Texas State
225,Texas Tech
226,Texas Wesleyan
227,The Citadel
228,Toledo
229,Towson
230,Troy
231,Tulane
232,Tulsa
233,UAB
234,UAlbany
235,UC Davis
236,UCF
237,UCLA
238,UConn
239,UL Monroe
240,UNLV
241,USC
242,UT Martin
243,UT Rio Grande Valley
244,UTEP
245,UTSA
246,Utah
247,Utah State
248,Utah Tech
249,VMI
250,Valparaiso
251,Vanderbilt
252,Villanova
253,Virginia
254,Virginia Tech
255,Virginia University Of Lynchburg
256,Wagner
257,Wake Forest
258,Warner University
259,Washington
260,Washington State
261,Webber International
262,Weber State
263,West Georgia
264,West Virginia
265,Western Carolina
266,Western Illinois
267,Western Kentucky
268,Western Michigan
269,William & Mary
270,Wisconsin
271,Wofford
272,Wyoming
273,Yale
274,Youngstown State
